"cell.id";"longitude_cell";"latitude_cell";"-P50";"Slope";"-TLP";"LS";"Ks";"WD";"LMA";"N";"group";"per";"MAT";"MAP";"meanT_Q";"pre_dryQ";"AI"
12337;11.875;58.125;1.18906573447499;3.96400407065185;0.880751436159674;-0.998263389134565;-0.196148775889023;0.504460709085811;4.89063464995454;2.75541565929281;"NC";0.709125149176618;NA;NA;NA;NA;NA
12338;15.625;58.875;1.25727581107886;3.80498840336234;0.867288496994784;-1.11827881069085;-0.588155305375371;0.482937379018662;5.14229465478122;2.56005970163404;"NC";0.983376203853011;NA;NA;NA;NA;NA
12339;13.375;59.375;1.00887617238955;4.05210000997288;0.720406381120009;-0.987624222540857;0.275682081464331;0.472416028448043;4.72494000102635;3.0070792424357;"BD";0.53224540409191;NA;NA;NA;NA;NA
12340;15.375;57.875;1.21820303266673;3.57131600385142;0.817074413774371;-1.34193858686004;-0.678891166138354;0.517361106581436;5.24288568608815;2.54500576593108;"NC";0.991732437544844;NA;NA;NA;NA;NA
12341;12.875;63.375;1.24288861163994;4.03547261239165;0.874592318887543;-0.926199156660513;-0.317561139544009;0.459525771617334;4.97287584083564;2.67275587149862;"NC";0.861663041765656;NA;NA;NA;NA;NA
12342;15.875;61.375;1.10496992538836;4.10209987859669;0.750621480245861;-1.02551184813596;-0.0604993606910453;0.489622993990992;4.93427764425871;2.83764261606935;"NC";0.680964157547457;NA;NA;NA;NA;NA
12343;22.625;67.875;1.1422746804446;3.37793502988803;0.738616625593019;-1.56747173015741;-0.584514482615757;0.552392124399879;5.29034709758043;2.60286552768392;"NC";0.923881337347047;NA;NA;NA;NA;NA
12344;22.875;66.125;1.19441897488639;3.38697759293308;0.785458378119827;-1.51451478490908;-0.747647072744889;0.538799038921206;5.30278658441652;2.53271652987748;"NC";1;NA;NA;NA;NA;NA
12345;12.125;59.125;1.20102083561566;3.84033351123379;0.819565655421611;-1.12447483854233;-0.398943990058082;0.495430699289706;5.10608473943297;2.65176104648204;"NC";0.882127281672052;NA;NA;NA;NA;NA
12346;14.375;63.625;1.23814890034887;3.95914069305563;0.861954286769407;-1.00009884132994;-0.387598540864571;0.47024960519768;5.03642273561702;2.64365499565021;"NC";0.895361770948643;NA;NA;NA;NA;NA
