"species"	"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"Ks"	"LS"	"WD"	"LMA"	"leafN"	"group"
"67"	"Areca_indet"	"Areca indet"	"Areca"	"Arecaceae"	0.512945227325	3.60273429571	0.72182553183	0.626955952045	-0.70507336738	0.565	4.161442405905	2.952135668	"BE"
"68"	"Artocarpus_altilis"	"Artocarpus altilis"	"Artocarpus"	"Moraceae"	0.0507590715	3.773443152	0.039220713	0.512823626	-0.204567166	0.37	4.213016092	3.114847754	"BE"
"69"	"Asimina_triloba"	"Asimina triloba"	"Asimina"	"Annonaceae"	0.6919124092	2.75513462096	0.518793793	0.3353795299	-0.471901768585	0.4425	3.234946005	3.099641737	"BT"
"70"	"Avicennia_germinans"	"Avicennia germinans"	"Avicennia"	"Acanthaceae"	0.566541061335	3.048708546625	1.137833002	1.208137347095	-0.65127413576	0.77	4.3721624615575	2.890371758	"BE"
"71"	"Betula_alba"	"Betula alba"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.5025	4.077452695	3.230804396	"BT"
"72"	"Betula_alleghaniensis"	"Betula alleghaniensis"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.89	3.469945779	3.262509862	"BT"
"73"	"Betula_indet"	"Betula indet"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.5025	4.077452695	3.230804396	"BT"
"74"	"Betula_lenta"	"Betula lenta"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.505	4.077452695	3.254242969	"BT"
"75"	"Betula_nigra"	"Betula nigra"	"Betula"	"Betulaceae"	0.688134639	4.371218436	0.470003629	0.5713066125	-0.73994533	0.49	4.439705746	3.037353948	"BT"
"76"	"Betula_obscura"	"Betula obscura"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.5025	4.077452695	3.230804396	"BT"
"77"	"Betula_occidentalis"	"Betula occidentalis"	"Betula"	"Betulaceae"	0.39877612	4.5291527	0.470003629	0.617884696	-0.73994533	0.5	4.077452695	3.230804396	"BT"
"78"	"Betula_papyrifera"	"Betula papyrifera"	"Betula"	"Betulaceae"	0.765467842	3.884857337	0.39877612	0.524728529	-0.73994533	0.48	4.055950174	3.18158924	"BT"
"79"	"Betula_pendula"	"Betula pendula"	"Betula"	"Betulaceae"	0.717839793	5.074173315	0.598836501	0.5713066125	-0.73994533	0.57	4.191773708	3.238090044	"BT"
"80"	"Betula_populifolia"	"Betula populifolia"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.45	4.075501474	2.90690106	"BT"
"81"	"Betula_pubescens"	"Betula pubescens"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	0.5713066125	-0.73994533	0.535	4.382026635	3.230804396	"BT"
"82"	"Bourreria_succulenta"	"Bourreria succulenta"	"Bourreria"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	2.248656751	-0.1158655	0.605	4.347241072	3.311090309	"BE"
"83"	"Buchenavia_tetraphylla"	"Buchenavia tetraphylla"	"Buchenavia"	"Combretaceae"	1.223775432	2.995732274	0.662687973	0.867100488	-0.422189429635	0.625	4.36806602004	2.85474458	"BE"
"84"	"Bucida_buceras"	"Bucida buceras"	"Bucida"	"Combretaceae"	1.223775432	2.995732274	0.662687973	0.867100488	-0.44075401548	0.8	4.4951840156075	2.397895273	"BE"
"85"	"Bursera_simaruba"	"Bursera simaruba"	"Bursera"	"Burseraceae"	-0.051293294	3.994340048	0.270027137	1.360976553	0.616185139	0.33	4.708177936	2.883123329	"BD"
"86"	"Buxus_sempervirens"	"Buxus sempervirens"	"Buxus"	"Buxaceae"	2.079441542	3.2420268289	0.980911909839999	0.057106178375	-0.57387057053	0.78	4.984907146	3.039749159	"BE"
"87"	"Byrsonima_crassifolia"	"Byrsonima crassifolia"	"Byrsonima"	"Malpighiaceae"	0.705104614845	3.884071782455	0.698134722	0.741937345	0.184327876	0.59	4.996941967	2.622492313	"BE"
"88"	"Byrsonima_lucida"	"Byrsonima lucida"	"Byrsonima"	"Malpighiaceae"	1.15770785899	3.43418822591	0.698134722	0.741937345	0.184327876	0.59	4.996941967	2.517696473	"BE"
"89"	"Byrsonima_spicata"	"Byrsonima spicata"	"Byrsonima"	"Malpighiaceae"	0.71333273351	3.838585674285	0.698134722	0.741937345	0.184327876	0.61	4.996941967	3.013080912	"BE"
"90"	"Byrsonima_wadsworthii"	"Byrsonima wadsworthii"	"Byrsonima"	"Malpighiaceae"	1.109976015535	3.295498145715	0.698134722	0.741937345	0.184327876	0.58	4.996941967	2.76000994	"BE"
"91"	"Calocedrus_decurrens"	"Calocedrus decurrens"	"Calocedrus"	"Cupressaceae"	2.047692843	2.648300197	1.123304901	0.292669614	-1.5682425535	0.37	5.070381098	2.4530446305	"CC"
"92"	"Calophyllum_antillanum"	"Calophyllum antillanum"	"Calophyllum"	"Clusiaceae"	0.988905944845	3.534413133635	0.888700833795	0.381031112015	-0.798638035195	0.7825	4.48112848389	2.330686523	"BE"
"93"	"Canella_winterana"	"Canella winterana"	"Canella"	"Canellaceae"	-1.46967597	3.888549649	0.66533695069	0.63314428498	-0.42595118968	0.598025	3.954065896235	3.11949075358	"BE"
"94"	"Capparis_cynophallophora"	"Capparis cynophallophora"	"Capparis"	"Capparaceae"	0.667735245235	3.74733985729	0.66436639741	0.72230557114	-0.623158503105	0.548825	4.106741856365	3.02616976262	"BE"
"95"	"Carpinus_betulus"	"Carpinus betulus"	"Carpinus"	"Betulaceae"	1.335001067	3.54240755	0.924258902	0.5713066125	-0.73994533	0.68	3.606041176	3.113515309	"BT"
"96"	"Carpinus_caroliniana"	"Carpinus caroliniana"	"Carpinus"	"Betulaceae"	1.335001067	3.54240755	0.924258902	0.5713066125	-0.73994533	0.58	3.335769576	2.879198457	"BT"
"97"	"Carya_alba"	"Carya alba"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.652818184965	-0.631056932265	0.64	3.82133214	3.003204288	"BT"
"98"	"Carya_aquatica"	"Carya aquatica"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.646504193225	-0.637261423145	0.61	3.82133214	3.003204288	"BT"
"99"	"Carya_carolinae-septentrionalis"	"Carya carolinae-septentrionalis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.59578168814	-0.921153181035	0.61	3.82133214	3.003204288	"BT"
"100"	"Carya_cordiformis"	"Carya cordiformis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.65965288867	-0.667368486095	0.575	3.574450163	3.135494216	"BT"
"101"	"Carya_glabra"	"Carya glabra"	"Carya"	"Juglandaceae"	0.741937345	3.42751469	0.447885824	0.614309345265	-0.606170655855	0.66	3.980429038	2.791165108	"BT"
"102"	"Carya_illinoinensis"	"Carya illinoinensis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.64834192659	-0.635168172355	0.61	3.82133214	3.063390922	"BT"
"103"	"Carya_indet"	"Carya indet"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.59578168814	-0.921153181035	0.61	3.82133214	3.003204288	"BE"
"104"	"Carya_laciniosa"	"Carya laciniosa"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.652818184965	-0.637261423145	0.62	3.82133214	3.003204288	"BT"
"105"	"Carya_myristiciformis"	"Carya myristiciformis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.64904024284	-0.65287053849	0.56	3.82133214	3.003204288	"BT"
"106"	"Carya_ovalis"	"Carya ovalis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.59578168814	-0.921153181035	0.61	3.82133214	3.003204288	"BT"
"107"	"Carya_ovata"	"Carya ovata"	"Carya"	"Juglandaceae"	-0.579818495	3.42751469	0.447885824	0.7360298285	-0.58128882584	0.585	3.781686504	2.999226163	"BT"
"108"	"Carya_pallida"	"Carya pallida"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.646504193225	-0.63812490607	0.61	3.82133214	3.003204288	"BT"
"109"	"Carya_texana"	"Carya texana"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	0.65909645938	-0.636287012955	0.61	3.916114623	3.003204288	"BT"
"110"	"Casearia_arborea"	"Casearia arborea"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	0.641853886	-0.967584026	0.565	3.947583181	3.341801172	"BE"
