"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"71"	"Areca indet"	"Areca"	"Arecaceae"	0.620938268875	3.636148952765	0.769026041815	-0.70305885901	0.573115713545	0.565	4.05064239567	2.952135668	"BE"
"72"	"Artocarpus altilis"	"Artocarpus"	"Moraceae"	0.0507590715	3.773443152	0.039220713	-0.204567166	0.512823626	0.37	4.213016092	3.114847754	"BE"
"73"	"Asimina triloba"	"Asimina"	"Annonaceae"	1.193922468	2.895911938	0.518793793	-1.245298398	2.208274414	0.5125	3.234946005	3.099641737	"BD"
"74"	"Avicennia germinans"	"Avicennia"	"Acanthaceae"	0.905900176934999	2.79560335698	1.137833002	-0.85202758372	0.65464304562	0.77	4.279000909925	2.890371758	"BE"
"75"	"Betula alba"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.5025	4.077452695	3.230804396	"BD"
"76"	"Betula alleghaniensis"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.89	3.469945779	3.262509862	"BD"
"77"	"Betula indet"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.5025	4.077452695	3.230804396	"BD"
"78"	"Betula lenta"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.505	4.077452695	3.254242969	"BD"
"79"	"Betula nigra"	"Betula"	"Betulaceae"	0.688134639	4.371218436	0.470003629	-0.73994533	0.5713066125	0.49	4.439705746	3.037353948	"BD"
"80"	"Betula obscura"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.5025	4.077452695	3.230804396	"BD"
"81"	"Betula occidentalis"	"Betula"	"Betulaceae"	0.39877612	4.5291527	0.470003629	-0.73994533	0.617884696	0.5	4.077452695	3.230804396	"BD"
"82"	"Betula papyrifera"	"Betula"	"Betulaceae"	0.765467842	3.884857337	0.39877612	-0.73994533	0.524728529	0.48	4.055950174	3.18158924	"BD"
"83"	"Betula pendula"	"Betula"	"Betulaceae"	0.717839793	5.074173315	0.598836501	-0.73994533	0.5713066125	0.57	4.191773708	3.238090044	"BD"
